Using device: cuda
Output directory: experiments/emender_1p3b_cma/heldout/leveltyped-gdn2-lm_100m_20260611_191934
Auto r_h_mode: none (level 0 has bounded/no W_h)
Tokenizer: p50k_base, vocab_size=50281
Model: Level typed-gdn2-lm, 1,287,942,344 parameters
Using schedule-free AdamW (lr=0.0011083449181198209)

Starting training from step 0...
Batch size: 2, Chunk size: 2048
Gradient accumulation: 1, Effective batch: 2

Time-based training: 15.0 min budget (from process start). Init took 21.4s, 878.6s remaining for training.
step    840 | loss 5.6416 | lr 1.11e-03 | grad 1.88 | tok/s 6918 | elapsed_h 0.147 | time 2026-06-11T19:28:19+00:00
step    850 | loss 5.9303 | lr 1.11e-03 | grad 1.47 | tok/s 6915 | elapsed_h 0.149 | time 2026-06-11T19:28:25+00:00
step    860 | loss 5.8489 | lr 1.11e-03 | grad 1.12 | tok/s 6922 | elapsed_h 0.151 | time 2026-06-11T19:28:31+00:00
step    870 | loss 5.9624 | lr 1.11e-03 | grad 1.58 | tok/s 6915 | elapsed_h 0.152 | time 2026-06-11T19:28:37+00:00
step    880 | loss 5.8051 | lr 1.11e-03 | grad 2.73 | tok/s 6920 | elapsed_h 0.154 | time 2026-06-11T19:28:43+00:00
step    890 | loss 5.6833 | lr 1.11e-03 | grad 2.25 | tok/s 6938 | elapsed_h 0.156 | time 2026-06-11T19:28:49+00:00
step    900 | loss 5.9366 | lr 1.11e-03 | grad 2.36 | tok/s 6937 | elapsed_h 0.157 | time 2026-06-11T19:28:55+00:00
step    910 | loss 5.9395 | lr 1.11e-03 | grad 1.18 | tok/s 6943 | elapsed_h 0.159 | time 2026-06-11T19:29:01+00:00
step    920 | loss 5.6654 | lr 1.11e-03 | grad 2.45 | tok/s 6941 | elapsed_h 0.161 | time 2026-06-11T19:29:07+00:00
step    930 | loss 6.0302 | lr 1.11e-03 | grad 1.20 | tok/s 6930 | elapsed_h 0.162 | time 2026-06-11T19:29:13+00:00
step    940 | loss 5.7922 | lr 1.11e-03 | grad 1.49 | tok/s 6950 | elapsed_h 0.164 | time 2026-06-11T19:29:19+00:00
step    950 | loss 5.9304 | lr 1.11e-03 | grad 2.25 | tok/s 6928 | elapsed_h 0.166 | time 2026-06-11T19:29:25+00:00
step    960 | loss 5.6943 | lr 1.11e-03 | grad 1.80 | tok/s 6932 | elapsed_h 0.167 | time 2026-06-11T19:29:31+00:00
step    970 | loss 5.8929 | lr 1.11e-03 | grad 1.27 | tok/s 6928 | elapsed_h 0.169 | time 2026-06-11T19:29:37+00:00
step    980 | loss 5.4988 | lr 1.11e-03 | grad 1.55 | tok/s 6929 | elapsed_h 0.171 | time 2026-06-11T19:29:43+00:00
step    990 | loss 5.6903 | lr 1.11e-03 | grad 1.64 | tok/s 6927 | elapsed_h 0.172 | time 2026-06-11T19:29:49+00:00
step   1000 | loss 5.5274 | lr 1.11e-03 | grad 1.28 | tok/s 6921 | elapsed_h 0.174 | time 2026-06-11T19:29:55+00:00
step   1010 | loss 5.6937 | lr 1.11e-03 | grad 1.47 | tok/s 6920 | elapsed_h 0.176 | time 2026-06-11T19:30:01+00:00
step   1020 | loss 5.7482 | lr 1.11e-03 | grad 1.23 | tok/s 6916 | elapsed_h 0.177 | time 2026-06-11T19:30:07+00:00
step   1030 | loss 5.7396 | lr 1.11e-03 | grad 1.45 | tok/s 6919 | elapsed_h 0.179 | time 2026-06-11T19:30:13+00:00
step   1040 | loss 6.0265 | lr 1.11e-03 | grad 1.27 | tok/s 6931 | elapsed_h 0.181 | time 2026-06-11T19:30:19+00:00
step   1050 | loss 5.5996 | lr 1.11e-03 | grad 1.62 | tok/s 6927 | elapsed_h 0.182 | time 2026-06-11T19:30:25+00:00
