Using device: cuda
Output directory: paper/review/wl_lm/raw_gdn/leveltyped-gdn2-lm_100m_20260607_154529
Auto r_h_mode: none (level 0 has bounded/no W_h)
Tokenizer: p50k_base, vocab_size=50281
Model: Level typed-gdn2-lm, 145,579,008 parameters
Using schedule-free AdamW (lr=0.0003)

Starting training from step 0...
Batch size: 16, Chunk size: 512
Gradient accumulation: 1, Effective batch: 16

Time-based training: 17.5 min budget (from process start). Init took 9.1s, 1040.9s remaining for training.
step   1350 | loss 6.1933 | lr 3.00e-04 | grad 1.46 | tok/s 50258 | elapsed_h 0.154 | time 2026-06-07T15:54:37+00:00
step   1360 | loss 6.1093 | lr 3.00e-04 | grad 1.19 | tok/s 50015 | elapsed_h 0.155 | time 2026-06-07T15:54:39+00:00
step   1370 | loss 6.0454 | lr 3.00e-04 | grad 1.29 | tok/s 50077 | elapsed_h 0.155 | time 2026-06-07T15:54:41+00:00
step   1380 | loss 6.1795 | lr 3.00e-04 | grad 1.62 | tok/s 50098 | elapsed_h 0.156 | time 2026-06-07T15:54:42+00:00
step   1390 | loss 6.1937 | lr 3.00e-04 | grad 1.30 | tok/s 50128 | elapsed_h 0.156 | time 2026-06-07T15:54:44+00:00
step   1400 | loss 6.1776 | lr 3.00e-04 | grad 1.22 | tok/s 50079 | elapsed_h 0.157 | time 2026-06-07T15:54:45+00:00
step   1410 | loss 6.0585 | lr 3.00e-04 | grad 1.16 | tok/s 50036 | elapsed_h 0.157 | time 2026-06-07T15:54:47+00:00
step   1420 | loss 6.1680 | lr 3.00e-04 | grad 1.33 | tok/s 49999 | elapsed_h 0.157 | time 2026-06-07T15:54:49+00:00
step   1430 | loss 6.0462 | lr 3.00e-04 | grad 1.19 | tok/s 50045 | elapsed_h 0.158 | time 2026-06-07T15:54:50+00:00
step   1440 | loss 6.1916 | lr 3.00e-04 | grad 1.20 | tok/s 50061 | elapsed_h 0.158 | time 2026-06-07T15:54:52+00:00
step   1450 | loss 6.1928 | lr 3.00e-04 | grad 1.51 | tok/s 50069 | elapsed_h 0.159 | time 2026-06-07T15:54:54+00:00
step   1460 | loss 6.2018 | lr 3.00e-04 | grad 1.28 | tok/s 50018 | elapsed_h 0.159 | time 2026-06-07T15:54:55+00:00
step   1470 | loss 6.1097 | lr 3.00e-04 | grad 1.33 | tok/s 50100 | elapsed_h 0.160 | time 2026-06-07T15:54:57+00:00
step   1480 | loss 6.1023 | lr 3.00e-04 | grad 1.29 | tok/s 43613 | elapsed_h 0.160 | time 2026-06-07T15:54:59+00:00
step   1490 | loss 6.0902 | lr 3.00e-04 | grad 1.26 | tok/s 49986 | elapsed_h 0.161 | time 2026-06-07T15:55:01+00:00
step   1500 | loss 6.1586 | lr 3.00e-04 | grad 1.26 | tok/s 50086 | elapsed_h 0.161 | time 2026-06-07T15:55:02+00:00
  >>> validation loss: 8.5875
