Using device: cuda
Output directory: paper/review/wl_lm/delta_none/leveltyped-gdn2-lm_100m_20260607_154539
Auto r_h_mode: none (level 0 has bounded/no W_h)
Tokenizer: p50k_base, vocab_size=50281
Model: Level typed-gdn2-lm, 159,402,624 parameters
Using schedule-free AdamW (lr=0.0003)

Starting training from step 0...
Batch size: 16, Chunk size: 512
Gradient accumulation: 1, Effective batch: 16

Time-based training: 17.5 min budget (from process start). Init took 9.4s, 1040.6s remaining for training.
step    850 | loss 6.1113 | lr 3.00e-04 | grad 1.77 | tok/s 40352 | elapsed_h 0.109 | time 2026-06-07T15:52:03+00:00
step    860 | loss 6.0800 | lr 3.00e-04 | grad 1.70 | tok/s 40317 | elapsed_h 0.109 | time 2026-06-07T15:52:05+00:00
step    870 | loss 6.0686 | lr 3.00e-04 | grad 1.66 | tok/s 40275 | elapsed_h 0.110 | time 2026-06-07T15:52:07+00:00
step    880 | loss 6.0976 | lr 3.00e-04 | grad 1.96 | tok/s 40172 | elapsed_h 0.110 | time 2026-06-07T15:52:09+00:00
step    890 | loss 6.1109 | lr 3.00e-04 | grad 1.94 | tok/s 40235 | elapsed_h 0.111 | time 2026-06-07T15:52:11+00:00
step    900 | loss 6.0724 | lr 3.00e-04 | grad 1.75 | tok/s 40240 | elapsed_h 0.112 | time 2026-06-07T15:52:13+00:00
step    910 | loss 6.0908 | lr 3.00e-04 | grad 2.44 | tok/s 40188 | elapsed_h 0.112 | time 2026-06-07T15:52:16+00:00
step    920 | loss 6.0009 | lr 3.00e-04 | grad 1.95 | tok/s 40108 | elapsed_h 0.113 | time 2026-06-07T15:52:18+00:00
step    930 | loss 6.0705 | lr 3.00e-04 | grad 1.82 | tok/s 40040 | elapsed_h 0.113 | time 2026-06-07T15:52:20+00:00
step    940 | loss 6.0045 | lr 3.00e-04 | grad 1.74 | tok/s 40019 | elapsed_h 0.114 | time 2026-06-07T15:52:22+00:00
step    950 | loss 6.1124 | lr 3.00e-04 | grad 1.67 | tok/s 40246 | elapsed_h 0.114 | time 2026-06-07T15:52:24+00:00
step    960 | loss 6.0925 | lr 3.00e-04 | grad 1.73 | tok/s 39970 | elapsed_h 0.115 | time 2026-06-07T15:52:26+00:00
step    970 | loss 6.0766 | lr 3.00e-04 | grad 1.91 | tok/s 39974 | elapsed_h 0.116 | time 2026-06-07T15:52:28+00:00
step    980 | loss 6.0120 | lr 3.00e-04 | grad 1.89 | tok/s 39948 | elapsed_h 0.116 | time 2026-06-07T15:52:30+00:00
step    990 | loss 6.0132 | lr 3.00e-04 | grad 1.77 | tok/s 39843 | elapsed_h 0.117 | time 2026-06-07T15:52:32+00:00
step   1000 | loss 5.9414 | lr 3.00e-04 | grad 2.02 | tok/s 39913 | elapsed_h 0.117 | time 2026-06-07T15:52:34+00:00
  >>> validation loss: 8.7756
step   1010 | loss 6.0404 | lr 3.00e-04 | grad 1.70 | tok/s 418 | elapsed_h 0.172 | time 2026-06-07T15:55:51+00:00
step   1020 | loss 6.0743 | lr 3.00e-04 | grad 1.72 | tok/s 41717 | elapsed_h 0.172 | time 2026-06-07T15:55:53+00:00
step   1030 | loss 5.9986 | lr 3.00e-04 | grad 2.11 | tok/s 41640 | elapsed_h 0.173 | time 2026-06-07T15:55:55+00:00
