Using device: cuda
Output directory: paper/review/wl_lm/gdn2_mlp_ref/leveltyped-gdn2-lm_100m_20260607_154554
Auto r_h_mode: none (level 0 has bounded/no W_h)
Tokenizer: p50k_base, vocab_size=50281
Model: Level typed-gdn2-lm, 131,755,008 parameters
Using schedule-free AdamW (lr=0.0003)

Starting training from step 0...
Batch size: 16, Chunk size: 512
Gradient accumulation: 1, Effective batch: 16

Time-based training: 17.5 min budget (from process start). Init took 10.0s, 1040.0s remaining for training.
step   1290 | loss 6.5954 | lr 3.00e-04 | grad 2.06 | tok/s 60900 | elapsed_h 0.063 | time 2026-06-07T15:49:34+00:00
step   1300 | loss 6.6160 | lr 3.00e-04 | grad 2.23 | tok/s 60901 | elapsed_h 0.063 | time 2026-06-07T15:49:36+00:00
step   1310 | loss 6.6564 | lr 3.00e-04 | grad 2.02 | tok/s 60799 | elapsed_h 0.064 | time 2026-06-07T15:49:37+00:00
step   1320 | loss 6.7026 | lr 3.00e-04 | grad 2.00 | tok/s 60782 | elapsed_h 0.064 | time 2026-06-07T15:49:38+00:00
step   1330 | loss 6.6357 | lr 3.00e-04 | grad 1.95 | tok/s 61249 | elapsed_h 0.065 | time 2026-06-07T15:49:40+00:00
step   1340 | loss 6.5308 | lr 3.00e-04 | grad 1.89 | tok/s 60890 | elapsed_h 0.065 | time 2026-06-07T15:49:41+00:00
step   1350 | loss 6.6190 | lr 3.00e-04 | grad 2.12 | tok/s 60746 | elapsed_h 0.065 | time 2026-06-07T15:49:42+00:00
step   1360 | loss 6.5820 | lr 3.00e-04 | grad 2.17 | tok/s 60764 | elapsed_h 0.066 | time 2026-06-07T15:49:44+00:00
step   1370 | loss 6.6552 | lr 3.00e-04 | grad 1.91 | tok/s 60608 | elapsed_h 0.066 | time 2026-06-07T15:49:45+00:00
step   1380 | loss 6.6135 | lr 3.00e-04 | grad 1.77 | tok/s 60649 | elapsed_h 0.067 | time 2026-06-07T15:49:46+00:00
step   1390 | loss 6.4781 | lr 3.00e-04 | grad 1.88 | tok/s 60743 | elapsed_h 0.067 | time 2026-06-07T15:49:48+00:00
step   1400 | loss 6.5293 | lr 3.00e-04 | grad 1.80 | tok/s 60662 | elapsed_h 0.067 | time 2026-06-07T15:49:49+00:00
step   1410 | loss 6.4825 | lr 3.00e-04 | grad 2.00 | tok/s 60544 | elapsed_h 0.068 | time 2026-06-07T15:49:50+00:00
step   1420 | loss 6.6908 | lr 3.00e-04 | grad 1.91 | tok/s 60511 | elapsed_h 0.068 | time 2026-06-07T15:49:52+00:00
step   1430 | loss 6.5853 | lr 3.00e-04 | grad 1.77 | tok/s 60534 | elapsed_h 0.068 | time 2026-06-07T15:49:53+00:00
step   1440 | loss 6.5453 | lr 3.00e-04 | grad 1.94 | tok/s 60491 | elapsed_h 0.069 | time 2026-06-07T15:49:55+00:00
