name,gen,a_delta,a_track,f_delta,f_track,dim,model_params,heldout_bpb,tok_s,avg_loss,fused_asserted
cma_g2_e0,2,0.15163469608678914,-4.866271673842722,0.53125,0.0,384,38573568,2.43977,56893.8,6.57607,True
cma_g2_e1,2,-0.1236480689601196,-5.9448365772614125,0.46875,0.0,384,38192640,2.44585,52437.6,6.64036,True
cma_g2_e2,2,1.1775685665886786,-5.6989926006194285,0.75,0.0,384,39906816,2.4683,56071.4,6.65288,True
cma_g2_e3,2,-0.6931833303198557,-2.535682550118163,0.3125,0.0625,384,37615584,2.44912,43005.1,6.56922,True
cma_g2_e4,2,-1.8572831300077763,-4.961667359642496,0.125,0.0,448,42099328,2.38877,53835.8,6.51706,True
cma_g2_e5,2,-0.7578281230386749,-4.2661297492142936,0.3125,0.0,384,37240320,2.44819,51695.7,6.65474,True
cma_g2_e6,2,0.567446258159102,-2.943203489476147,0.625,0.03125,384,39332592,2.42012,42616.5,6.53468,True
cma_g2_e7,2,-2.296867639594507,-3.0003367734322213,0.09375,0.03125,448,42095984,2.38503,41853.4,6.47901,True
cma_g3_e0,3,-1.6174268089816777,-5.546845875624955,0.15625,0.0,448,42322048,2.38877,56266.5,6.51717,True
cma_g3_e1,3,-1.9072796348145817,-4.103865808655707,0.125,0.0,448,42099328,2.40374,56407.8,6.55783,True
cma_g3_e2,3,-1.1016350786025488,-2.841328863633745,0.25,0.03125,384,37047024,2.43415,43328.8,6.52336,True
cma_g3_e3,3,-2.930659916098798,-2.8862140115292516,0.03125,0.0625,448,41869920,2.39251,39982.9,6.56069,True
cma_g3_e4,3,-0.7275235704292733,-3.766804906879974,0.3125,0.03125,384,37427952,2.41123,42916.1,6.54441,True
cma_g3_e5,3,-2.2207177785460015,-2.6849007226666575,0.09375,0.0625,448,42315360,2.40749,42511.3,6.51608,True
cma_g3_e6,3,-1.1257328369196329,-3.717614264470543,0.25,0.0,448,42990208,2.39392,56042.2,6.4907,True
cma_g3_e7,3,-0.25319372758380987,-4.633659551718363,0.4375,0.0,384,38002176,2.44819,56116.6,6.62099,True
