step,tokens,flops,loss_nats_raw,loss_nats_smooth50,bits_per_token_smooth50,flops_per_bit_reduction
2180,8929280,2.67888e+16,1.1690,1.3970,2.0154,1.96953e+15
2190,8970240,2.69117e+16,1.1848,1.3916,2.0077,1.97744e+15
2200,9011200,2.70346e+16,1.1728,1.3860,1.9996,1.9853e+15
2210,9052160,2.71575e+16,1.1295,1.3804,1.9915,1.99314e+15
2220,9093120,2.72804e+16,1.1193,1.3730,1.9808,2.00059e+15
2230,9134080,2.74033e+16,1.3271,1.3754,1.9844,2.01012e+15
2240,9175040,2.75262e+16,1.3019,1.3751,1.9838,2.01905e+15
2250,9216000,2.7649e+16,1.4861,1.3735,1.9816,2.02773e+15
2260,9256960,2.77719e+16,1.5171,1.3739,1.9821,2.03682e+15
2270,9297920,2.78948e+16,1.8929,1.3838,1.9964,2.04798e+15
2280,9338880,2.80177e+16,1.4652,1.3834,1.9958,2.05691e+15
2290,9379840,2.81406e+16,1.2824,1.3815,1.9931,2.06553e+15
2300,9420800,2.82635e+16,1.7107,1.3843,1.9971,2.07515e+15
2310,9461760,2.83863e+16,1.3624,1.3839,1.9965,2.08408e+15
2320,9502720,2.85092e+16,1.6040,1.3867,2.0007,2.09374e+15
2330,9543680,2.86321e+16,1.7878,1.3948,2.0122,2.10456e+15
2340,9584640,2.8755e+16,1.3919,1.3923,2.0086,2.11304e+15
2350,9625600,2.88779e+16,1.3210,1.3929,2.0095,2.1222e+15
2360,9666560,2.90008e+16,1.2958,1.3928,2.0094,2.13121e+15
2370,9707520,2.91237e+16,1.4346,1.3934,2.0102,2.14037e+15
2380,9748480,2.92465e+16,1.4558,1.3979,2.0167,2.15043e+15
2390,9789440,2.93694e+16,1.1555,1.3919,2.0081,2.15809e+15
2400,9830400,2.94923e+16,1.0930,1.3865,2.0002,2.16588e+15
2410,9871360,2.96152e+16,1.0836,1.3796,1.9904,2.17333e+15
2420,9912320,2.97381e+16,1.4405,1.3810,1.9924,2.18267e+15
2430,9953280,2.9861e+16,1.3831,1.3803,1.9913,2.19151e+15
2440,9994240,2.99838e+16,1.2122,1.3764,1.9857,2.19962e+15
2450,10035200,3.01067e+16,1.4347,1.3689,1.9749,2.2069e+15
2460,10076160,3.02296e+16,1.2845,1.3657,1.9703,2.21516e+15
2470,10117120,3.03525e+16,1.1269,1.3585,1.9599,2.22247e+15
2480,10158080,3.04754e+16,1.2121,1.3526,1.9514,2.23008e+15
2490,10199040,3.05983e+16,1.2925,1.3480,1.9448,2.23799e+15
2500,10240000,3.07212e+16,1.5128,1.3493,1.9466,2.24727e+15
2510,10280960,3.0844e+16,1.1262,1.3500,1.9476,2.25642e+15
2520,10321920,3.09669e+16,1.3705,1.3519,1.9504,2.26587e+15
2530,10362880,3.10898e+16,1.3306,1.3566,1.9571,2.27599e+15
2540,10403840,3.12127e+16,1.3715,1.3595,1.9614,2.2857e+15
2550,10444800,3.13356e+16,1.1605,1.3591,1.9608,2.29459e+15
2560,10485760,3.14585e+16,1.3905,1.3566,1.9572,2.30298e+15
2570,10526720,3.15813e+16,1.3635,1.3514,1.9497,2.31072e+15
2580,10567680,3.17042e+16,1.3337,1.3351,1.9262,2.31573e+15
2590,10608640,3.18271e+16,1.2958,1.3273,1.9148,2.32277e+15
2600,10649600,3.195e+16,1.5272,1.3305,1.9196,2.33255e+15
2610,10690560,3.20729e+16,1.3538,1.3274,1.9151,2.34075e+15
2620,10731520,3.21958e+16,1.5069,1.3395,1.9324,2.3527e+15
2630,10772480,3.23187e+16,1.4010,1.3466,1.9428,2.36346e+15
2640,10813440,3.24415e+16,1.4340,1.3449,1.9403,2.37202e+15
2650,10854400,3.25644e+16,1.4855,1.3494,1.9468,2.38214e+15
2660,10895360,3.26873e+16,1.2912,1.3519,1.9504,2.39176e+15
2670,10936320,3.28102e+16,1.3769,1.3553,1.9552,2.4016e+15
2680,10977280,3.29331e+16,1.5942,1.3638,1.9675,2.41276e+15
2690,11018240,3.3056e+16,1.2737,1.3655,1.9701,2.42222e+15
2700,11059200,3.31788e+16,1.4022,1.3701,1.9767,2.4324e+15
2710,11100160,3.33017e+16,1.4965,1.3775,1.9873,2.44331e+15
2720,11141120,3.34246e+16,1.3066,1.3812,1.9927,2.4533e+15
2730,11182080,3.35475e+16,1.1636,1.3779,1.9880,2.46146e+15
2740,11223040,3.36704e+16,1.5852,1.3836,1.9961,2.47196e+15
2750,11264000,3.37933e+16,1.5769,1.3854,1.9987,2.48146e+15
2760,11304960,3.39162e+16,1.2969,1.3810,1.9924,2.48932e+15
2770,11345920,3.4039e+16,1.4926,1.3730,1.9808,2.49623e+15
2780,11386880,3.41619e+16,1.0870,1.3654,1.9699,2.50324e+15
2790,11427840,3.42848e+16,1.6187,1.3722,1.9796,2.51403e+15
2800,11468800,3.44077e+16,1.3802,1.3656,1.9701,2.52128e+15
2810,11509760,3.45306e+16,1.2217,1.3628,1.9660,2.52953e+15
2820,11550720,3.46535e+16,1.3707,1.3581,1.9593,2.53728e+15
2830,11591680,3.47763e+16,1.1305,1.3449,1.9403,2.54274e+15
2840,11632640,3.48992e+16,0.7652,1.3324,1.9223,2.54836e+15
2850,11673600,3.50221e+16,1.6689,1.3394,1.9323,2.55921e+15
2860,11714560,3.5145e+16,1.6144,1.3457,1.9415,2.56992e+15
2870,11755520,3.52679e+16,1.3379,1.3438,1.9387,2.57837e+15
2880,11796480,3.53908e+16,1.4632,1.3439,1.9389,2.5874e+15
2890,11837440,3.55137e+16,1.2167,1.3452,1.9407,2.59672e+15
2900,11878400,3.56365e+16,1.4186,1.3517,1.9501,2.60749e+15
2910,11919360,3.57594e+16,1.3934,1.3579,1.9590,2.6182e+15
2920,11960320,3.58823e+16,1.4764,1.3586,1.9600,2.62739e+15
2930,12001280,3.60052e+16,1.5493,1.3619,1.9648,2.63732e+15
2940,12042240,3.61281e+16,1.2563,1.3628,1.9661,2.64657e+15
2950,12083200,3.6251e+16,1.3379,1.3609,1.9633,2.65503e+15
2960,12124160,3.63738e+16,1.2955,1.3611,1.9636,2.66409e+15
2970,12165120,3.64967e+16,1.2864,1.3643,1.9682,2.67399e+15
2980,12206080,3.66196e+16,1.6925,1.3739,1.9821,2.68572e+15
