step,tokens,flops,loss_nats_raw,loss_nats_smooth50,bits_per_token_smooth50,flops_per_bit_reduction
2120,8683520,2.5746e+16,0.7283,1.3378,1.9301,1.88106e+15
2130,8724480,2.58675e+16,1.5238,1.3448,1.9401,1.89132e+15
2140,8765440,2.59889e+16,1.2192,1.3402,1.9335,1.89929e+15
2150,8806400,2.61103e+16,1.1326,1.3358,1.9272,1.90728e+15
2160,8847360,2.62318e+16,1.1473,1.3351,1.9261,1.916e+15
2170,8888320,2.63532e+16,1.1304,1.3249,1.9114,1.9228e+15
2180,8929280,2.64747e+16,1.1463,1.3209,1.9057,1.93086e+15
2190,8970240,2.65961e+16,1.1227,1.3164,1.8992,1.9388e+15
2200,9011200,2.67176e+16,1.0701,1.3115,1.8921,1.94665e+15
2210,9052160,2.6839e+16,1.0809,1.3044,1.8819,1.95404e+15
2220,9093120,2.69605e+16,1.2037,1.3049,1.8826,1.96298e+15
2230,9134080,2.70819e+16,1.3028,1.3083,1.8875,1.97253e+15
2240,9175040,2.72033e+16,1.3450,1.3057,1.8837,1.98083e+15
2250,9216000,2.73248e+16,1.4247,1.3061,1.8843,1.98976e+15
2260,9256960,2.74462e+16,1.6735,1.3117,1.8924,1.99978e+15
2270,9297920,2.75677e+16,1.5407,1.3145,1.8965,2.00922e+15
2280,9338880,2.76891e+16,1.2178,1.3119,1.8926,2.01751e+15
2290,9379840,2.78106e+16,1.6921,1.3172,1.9003,2.0275e+15
2300,9420800,2.7932e+16,1.2152,1.3144,1.8963,2.03575e+15
2310,9461760,2.80534e+16,1.3555,1.3143,1.8962,2.04458e+15
2320,9502720,2.81749e+16,1.8299,1.3249,1.9114,2.05571e+15
2330,9543680,2.82963e+16,1.2698,1.3215,1.9066,2.06385e+15
2340,9584640,2.84178e+16,1.2848,1.3217,1.9069,2.07275e+15
2350,9625600,2.85392e+16,1.2490,1.3232,1.9089,2.08192e+15
2360,9666560,2.86607e+16,1.2875,1.3220,1.9072,2.09052e+15
2370,9707520,2.87821e+16,1.4506,1.3289,1.9172,2.10091e+15
2380,9748480,2.89035e+16,1.1091,1.3237,1.9096,2.10861e+15
2390,9789440,2.9025e+16,1.0494,1.3177,1.9010,2.11614e+15
2400,9830400,2.91464e+16,0.9643,1.3105,1.8906,2.12338e+15
2410,9871360,2.92679e+16,1.3285,1.3098,1.8896,2.13207e+15
2420,9912320,2.93893e+16,1.3641,1.3110,1.8914,2.14119e+15
2430,9953280,2.95108e+16,1.0719,1.3048,1.8825,2.14865e+15
2440,9994240,2.96322e+16,1.3521,1.2970,1.8712,2.15572e+15
2450,10035200,2.97537e+16,1.3225,1.2960,1.8697,2.16432e+15
2460,10076160,2.98751e+16,1.0062,1.2871,1.8570,2.17114e+15
2470,10117120,2.99965e+16,1.2190,1.2840,1.8524,2.17924e+15
2480,10158080,3.0118e+16,1.1737,1.2801,1.8469,2.18719e+15
2490,10199040,3.02394e+16,1.4034,1.2781,1.8440,2.19555e+15
2500,10240000,3.03609e+16,1.1191,1.2776,1.8433,2.20425e+15
2510,10280960,3.04823e+16,1.1192,1.2772,1.8426,2.21295e+15
