step,tokens,flops,loss_nats_raw,loss_nats_smooth50,bits_per_token_smooth50,flops_per_bit_reduction
2240,9175040,2.69034e+16,1.2705,1.3132,1.8945,1.96053e+15
2250,9216000,2.70235e+16,1.4040,1.3111,1.8915,1.96885e+15
2260,9256960,2.71437e+16,1.4328,1.3107,1.8909,1.97751e+15
2270,9297920,2.72638e+16,1.8003,1.3195,1.9037,1.98812e+15
2280,9338880,2.73839e+16,1.3988,1.3189,1.9028,1.99675e+15
2290,9379840,2.7504e+16,1.2055,1.3169,1.8999,2.00508e+15
2300,9420800,2.76241e+16,1.5761,1.3179,1.9013,2.01404e+15
2310,9461760,2.77442e+16,1.2717,1.3166,1.8995,2.02253e+15
2320,9502720,2.78643e+16,1.5064,1.3195,1.9036,2.0319e+15
2330,9543680,2.79844e+16,1.7340,1.3278,1.9157,2.04245e+15
2340,9584640,2.81045e+16,1.3400,1.3261,1.9132,2.05085e+15
2350,9625600,2.82246e+16,1.2576,1.3267,1.9141,2.05974e+15
2360,9666560,2.83447e+16,1.2378,1.3266,1.9139,2.06848e+15
2370,9707520,2.84648e+16,1.3370,1.3268,1.9142,2.0773e+15
2380,9748480,2.85849e+16,1.3787,1.3316,1.9211,2.0871e+15
2390,9789440,2.8705e+16,1.0817,1.3249,1.9115,2.09441e+15
2400,9830400,2.88251e+16,1.0410,1.3192,1.9032,2.1019e+15
2410,9871360,2.89452e+16,1.0172,1.3121,1.8929,2.10908e+15
2420,9912320,2.90653e+16,1.3752,1.3131,1.8944,2.11806e+15
2430,9953280,2.91854e+16,1.3139,1.3118,1.8926,2.12653e+15
2440,9994240,2.93055e+16,1.1360,1.3072,1.8859,2.13424e+15
2450,10035200,2.94256e+16,1.3708,1.2995,1.8748,2.14126e+15
2460,10076160,2.95457e+16,1.2394,1.2975,1.8718,2.14953e+15
2470,10117120,2.96658e+16,1.0608,1.2906,1.8620,2.15672e+15
2480,10158080,2.9786e+16,1.1685,1.2852,1.8542,2.16423e+15
2490,10199040,2.99061e+16,1.2346,1.2808,1.8478,2.17195e+15
2500,10240000,3.00262e+16,1.4296,1.2813,1.8485,2.18078e+15
2510,10280960,3.01463e+16,1.0325,1.2815,1.8489,2.18956e+15
2520,10321920,3.02664e+16,1.2937,1.2831,1.8511,2.19864e+15
2530,10362880,3.03865e+16,1.2609,1.2879,1.8581,2.20849e+15
2540,10403840,3.05066e+16,1.3005,1.2909,1.8623,2.2179e+15
2550,10444800,3.06267e+16,1.1116,1.2907,1.8621,2.2266e+15
2560,10485760,3.07468e+16,1.3333,1.2881,1.8584,2.23472e+15
2570,10526720,3.08669e+16,1.3019,1.2826,1.8504,2.24215e+15
2580,10567680,3.0987e+16,1.2602,1.2664,1.8271,2.24707e+15
2590,10608640,3.11071e+16,1.2171,1.2592,1.8166,2.25407e+15
2600,10649600,3.12272e+16,1.4570,1.2632,1.8224,2.26371e+15
2610,10690560,3.13473e+16,1.1782,1.2584,1.8155,2.2713e+15
2620,10731520,3.14674e+16,1.4389,1.2700,1.8322,2.28276e+15
2630,10772480,3.15875e+16,1.3438,1.2778,1.8435,2.29335e+15
2640,10813440,3.17076e+16,1.3504,1.2761,1.8410,2.30164e+15
2650,10854400,3.18277e+16,1.3963,1.2797,1.8462,2.31125e+15
2660,10895360,3.19478e+16,1.2376,1.2821,1.8496,2.32054e+15
2670,10936320,3.20679e+16,1.3151,1.2850,1.8539,2.32999e+15
2680,10977280,3.2188e+16,1.4181,1.2909,1.8624,2.34016e+15
2690,11018240,3.23082e+16,1.1899,1.2920,1.8639,2.34916e+15
2700,11059200,3.24283e+16,1.3425,1.2964,1.8703,2.35898e+15
2710,11100160,3.25484e+16,1.4085,1.3030,1.8798,2.36936e+15
2720,11141120,3.26685e+16,1.2468,1.3065,1.8849,2.37898e+15
2730,11182080,3.27886e+16,1.0714,1.3025,1.8791,2.38672e+15
2740,11223040,3.29087e+16,1.5405,1.3079,1.8869,2.39683e+15
2750,11264000,3.30288e+16,1.4775,1.3094,1.8891,2.40595e+15
2760,11304960,3.31489e+16,1.2295,1.3053,1.8832,2.41366e+15
2770,11345920,3.3269e+16,1.3909,1.2971,1.8714,2.42033e+15
2780,11386880,3.33891e+16,0.9922,1.2890,1.8596,2.42699e+15
2790,11427840,3.35092e+16,1.4969,1.2948,1.8681,2.43721e+15
2800,11468800,3.36293e+16,1.3021,1.2894,1.8601,2.44454e+15
2810,11509760,3.37494e+16,1.1553,1.2870,1.8568,2.45267e+15
2820,11550720,3.38695e+16,1.3166,1.2832,1.8513,2.46042e+15
2830,11591680,3.39896e+16,0.9801,1.2682,1.8296,2.46525e+15
2840,11632640,3.41097e+16,0.6188,1.2537,1.8087,2.47023e+15
2850,11673600,3.42298e+16,1.6190,1.2610,1.8192,2.48081e+15
2860,11714560,3.43499e+16,1.4808,1.2658,1.8262,2.49078e+15
2870,11755520,3.447e+16,1.2644,1.2644,1.8241,2.49911e+15
2880,11796480,3.45901e+16,1.3924,1.2646,1.8245,2.50789e+15
2890,11837440,3.47102e+16,1.1456,1.2659,1.8263,2.51693e+15
2900,11878400,3.48303e+16,1.3421,1.2719,1.8350,2.52723e+15
2910,11919360,3.49505e+16,1.2553,1.2767,1.8419,2.53721e+15
2920,11960320,3.50706e+16,1.4238,1.2777,1.8433,2.54619e+15
2930,12001280,3.51907e+16,1.4562,1.2805,1.8474,2.55567e+15
2940,12042240,3.53108e+16,1.2079,1.2820,1.8495,2.56478e+15
2950,12083200,3.54309e+16,1.2698,1.2799,1.8466,2.57296e+15
2960,12124160,3.5551e+16,1.2083,1.2793,1.8457,2.58151e+15
2970,12165120,3.56711e+16,1.2138,1.2824,1.8501,2.59106e+15
2980,12206080,3.57912e+16,1.6132,1.2913,1.8629,2.60221e+15
2990,12247040,3.59113e+16,1.8081,1.3027,1.8795,2.61409e+15
3000,12288000,3.60314e+16,1.2534,1.2992,1.8744,2.62186e+15
3010,12328960,3.61515e+16,0.9463,1.2975,1.8719,2.63013e+15
3020,12369920,3.62716e+16,1.2428,1.2965,1.8704,2.63858e+15
3030,12410880,3.63917e+16,1.3633,1.2985,1.8734,2.64789e+15
